@relation dataset_3_500der_win10
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute d_bandwidth_6 numeric
@attribute bandwidth_7 numeric
@attribute d_bandwidth_7 numeric
@attribute bandwidth_8 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_14',6263,-2395,4735,2084,6819,-1137,5682,0,5682,8,5690,679,6369,761,7130,-1,7129,'byte_7500'
'time_14',4735,-310,6819,-1137,5682,0,5682,8,5690,679,6369,761,7130,-1,7129,0,7129,'byte_6000'
'time_14',6819,-1447,5682,0,5682,8,5690,679,6369,761,7130,-1,7129,0,7129,-1189,5940,'byte_9000'
'time_14',5682,-258,5682,8,5690,679,6369,761,7130,-1,7129,0,7129,-1189,5940,2616,8556,'byte_8500'
'time_14',5682,-2866,5690,679,6369,761,7130,-1,7129,0,7129,-1189,5940,2616,8556,-423,8133,'byte_8500'
'time_15',5690,-1764,6369,761,7130,-1,7129,0,7129,-1189,5940,2616,8556,-423,8133,125,8258,'byte_8500'
'time_15',6369,-1128,7130,-1,7129,0,7129,-1189,5940,2616,8556,-423,8133,125,8258,19,8277,'byte_8500'
'time_15',7130,-1148,7129,0,7129,-1189,5940,2616,8556,-423,8133,125,8258,19,8277,-9,8268,'byte_8500'
'time_15',7129,-1139,7129,-1189,5940,2616,8556,-423,8133,125,8258,19,8277,-9,8268,-9,8259,'byte_8500'
'time_15',7129,-2319,5940,2616,8556,-423,8133,125,8258,19,8277,-9,8268,-9,8259,46,8305,'byte_7000'
'time_15',5940,251,8556,-423,8133,125,8258,19,8277,-9,8268,-9,8259,46,8305,-1335,6970,'byte_10000'
'time_16',8556,1163,8133,125,8258,19,8277,-9,8268,-9,8259,46,8305,-1335,6970,3073,10043,'byte_8500'
'time_16',8133,-1785,8258,19,8277,-9,8268,-9,8259,46,8305,-1335,6970,3073,10043,-1679,8364,'byte_7000'
'time_16',8258,-87,8277,-9,8268,-9,8259,46,8305,-1335,6970,3073,10043,-1679,8364,-1387,6977,'byte_10000'
'time_16',8277,1291,8268,-9,8259,46,8305,-1335,6970,3073,10043,-1679,8364,-1387,6977,3059,10036,'byte_7500'
'time_16',8268,-1777,8259,46,8305,-1335,6970,3073,10043,-1679,8364,-1387,6977,3059,10036,-3012,7024,'byte_5500'
'time_17',8259,1281,8305,-1335,6970,3073,10043,-1679,8364,-1387,6977,3059,10036,-3012,7024,-1689,5335,'byte_8000'
'time_17',8305,1635,6970,3073,10043,-1679,8364,-1387,6977,3059,10036,-3012,7024,-1689,5335,2349,7684,'byte_6500'
'time_17',6970,2359,10043,-1679,8364,-1387,6977,3059,10036,-3012,7024,-1689,5335,2349,7684,-1276,6408,'byte_6500'
'time_17',10043,1956,8364,-1387,6977,3059,10036,-3012,7024,-1689,5335,2349,7684,-1276,6408,-10,6398,'byte_6500'
'time_17',8364,579,6977,3059,10036,-3012,7024,-1689,5335,2349,7684,-1276,6408,-10,6398,-69,6329,'byte_5500'
'time_17',6977,3707,10036,-3012,7024,-1689,5335,2349,7684,-1276,6408,-10,6398,-69,6329,-904,5425,'byte_5000'
